Type1_IFN,INF_gamma,Interluekin_1,Interleukin_4/13,NF-kB,TNF-a,PI3K,Apoptosis,T-regulatory,TGF-B,Th17,Interleukin6_JAK_STAT3
,,,,BCL2A1,,PTEN,TNFRSF10B,,TGFBR2,,STAT3
,,,,CCL15,,PTPN11,TNFRSF10C,,THBS1,,TGFB1
,,,,CD83,,RAC1,TNFRSF10D,,THBS2,,TLR2
,,,,CD74,,RAF1,TNFRSF1A,,THBS3,,TNF
,,,,ELF3,,RALB,TNFSF10,,THBS4,,TNFRSF12A
,,,,TGM2,,RIPK1,TP53,,TNF,,TNFRSF1A
,,,,DEFB4,,RIT1,TRADD,,ZFYVE16,,TNFRSF1B
,,,,MMP9,,RPS6KA1,TRAF2,,ZFYVE9,,TNFRSF21
,,,,BCL3,,RPS6KA3,XIAP,,,,TYK2
,,,,CD80,,RPTOR,,,,,
,,,,VEGF C,,SFN,,,,,
,,,,PLCD1,,SLA,,,,,
,,,,TNFAIP3,,SLC2A1,,,,,
,,,,RELB,,SMAD2,,,,,
,,,,TFPI2,,SQSTM1,,,,,
,,,,BCL2,,STAT2,,,,,
,,,,S100A6,,TBK1,,,,,
,,,,TACR1,,THEM4,,,,,
,,,,NFKBIA,,TIAM1,,,,,
,,,,CD209,,TNFRSF1A,,,,,
,,,,CARD15,,TRAF2,,,,,
,,,,CCND1,,TRIB3,,,,,
,,,,KLK3,,TSC2,,,,,
,,,,IL15,,UBE2D3,,,,,
,,,,NR4A2,,UBE2N,,,,,
,,,,HC3,,VAV3,,,,,
,,,,,,YWHAB,,,,,
